player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
10765294,Atharva M,10738094,TEAM BAJRANGI,5,5,158,68,52.67,2,316.00,50,RHB,4,21,1,0
26751992,Saurabh Thakur,10738088,TEAM DAAKUs,4,4,147,51,73.50,2,237.10,62,RHB,3,20,1,0
4867029,Kishore Soni,10738088,TEAM DAAKUs,4,4,136,54,68.00,2,357.89,38,RHB,0,22,2,0
14019875,Ashish Naik,10738083,TEAM ROYAL CHALLENGERS,3,3,127,50,63.50,1,195.38,65,RHB,1,17,1,0
1494410,Abhishek Upare,10738099,TEAM. BAPPA BLASTERS,4,4,96,51,32.00,1,162.71,59,RHB,4,10,1,0
10765311,Rohit Akhade,10738094,TEAM BAJRANGI,5,5,91,31,22.75,1,182.00,50,RHB,3,12,0,0
20788786,Bhushan Ladda,10738094,TEAM BAJRANGI,5,5,90,34,18.00,0,219.51,41,RHB,3,11,0,0
32766099,Suhas Kale 702,10738099,TEAM. BAPPA BLASTERS,4,4,85,34,42.50,2,217.95,39,RHB,1,12,0,0
10745523,Kishor Wagh,10738088,TEAM DAAKUs,4,3,80,45,-,3,363.64,22,RHB,2,11,0,0
10765116,Aditya Agrawal,10738099,TEAM. BAPPA BLASTERS,4,4,61,27,15.25,0,210.34,29,RHB,0,9,0,0
10619512,Tanishq Wagh,10738088,TEAM DAAKUs,4,3,40,25,13.33,0,121.21,33,RHB,1,5,0,0
10765307,Sagar Shelar,10738083,TEAM ROYAL CHALLENGERS,3,3,34,22,11.33,0,147.83,23,RHB,2,2,0,0
32365258,Atharva Patil,10738094,TEAM BAJRANGI,5,4,34,18,17.00,2,103.03,33,RHB,1,4,0,0
19892409,Jonty K,10738099,TEAM. BAPPA BLASTERS,4,4,32,21,16.00,2,133.33,24,RHB,1,4,0,0
1883604,Raman Toshniwal,10738083,TEAM ROYAL CHALLENGERS,3,3,30,20,10.00,0,200.00,15,RHB,0,4,0,0
14298575,Manoj Upadhyay,10738094,TEAM BAJRANGI,5,4,29,13,14.50,2,193.33,15,RHB,0,4,0,0
10765268,Akshay Upare,10738088,TEAM DAAKUs,4,2,28,28,14.00,0,186.67,15,RHB,2,3,0,0
10765292,Ashish Makwana,10738083,TEAM ROYAL CHALLENGERS,3,3,15,8,7.50,1,214.29,7,RHB,0,2,0,0
10765317,Suhas Agawane,10738099,TEAM. BAPPA BLASTERS,4,1,12,12,-,1,240.00,5,LHB,0,1,0,0
14299002,Pritam Pashankar,10738083,TEAM ROYAL CHALLENGERS,3,2,12,12,12.00,1,400.00,3,LHB,0,2,0,0
16898071,Shripad K,10738094,TEAM BAJRANGI,5,1,11,11,11.00,0,137.50,8,RHB,1,1,0,0
32388597,Tanmay,10738083,TEAM ROYAL CHALLENGERS,3,3,10,7,5.00,1,100.00,10,RHB,0,1,0,0
10765325,Amit Kesharkar,10738099,TEAM. BAPPA BLASTERS,4,2,9,9,-,2,90.00,10,RHB,0,1,0,0
3604165,Aniruddha Kudal,10738099,TEAM. BAPPA BLASTERS,4,3,7,6,2.33,0,53.85,13,RHB,0,1,0,0
10765288,Dilip Achari,10738094,TEAM BAJRANGI,5,1,6,6,6.00,0,150.00,4,RHB,0,1,0,0
4962614,Siva Varigala (vvs),10738083,TEAM ROYAL CHALLENGERS,3,3,6,6,3.00,1,120.00,5,RHB,0,1,0,0
27287816,Saravanan R Subbiah,10738088,TEAM DAAKUs,4,1,4,4,-,1,66.67,6,RHB,0,0,0,0
32766079,Arham Celebria,10738088,TEAM DAAKUs,4,0,0,0,-,0,0,0,RHB,0,0,0,0
