Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Atharva M,TEAM BAJRANGI,All-Rounder,Right-arm fast,RHB,5,15.908,5.278,0.224,21.410
Kishore Soni,TEAM DAAKUs,,Right-arm fast,RHB,4,14.004,2.903,0.480,17.387
Saurabh Thakur,TEAM DAAKUs,All-Rounder,Right-arm medium,RHB,4,14.700,0.070,0.480,15.250
Ashish Naik,TEAM ROYAL CHALLENGERS,Opening batter,Right-arm Leg Break,RHB,3,12.700,1.637,0.192,14.529
Abhishek Upare,TEAM. BAPPA BLASTERS,All-Rounder,Right-arm Leg Break,RHB,4,9.600,3.979,0.144,13.723
Bhushan Ladda,TEAM BAJRANGI,,Right-arm fast,RHB,5,9.002,2.599,0.960,12.561
Atharva Patil,TEAM BAJRANGI,All-Rounder,Right-arm fast,RHB,5,3.418,8.070,0.000,11.488
Suhas Kale 702,TEAM. BAPPA BLASTERS,,Right-arm fast,RHB,4,8.557,1.496,0.480,10.533
Rohit Akhade,TEAM BAJRANGI,,Right-arm medium,RHB,5,9.100,1.060,0.240,10.400
Kishor Wagh,TEAM DAAKUs,None,Right-arm medium,RHB,4,8.222,0.836,0.288,9.346
Jonty K,TEAM. BAPPA BLASTERS,All-Rounder,Right-arm fast,RHB,4,3.221,5.670,0.240,9.131
Aditya Agrawal,TEAM. BAPPA BLASTERS,,Right-arm fast,RHB,4,6.258,1.483,0.000,7.741
Akshay Upare,TEAM DAAKUs,,Right-arm medium,RHB,4,2.800,4.726,0.000,7.526
Saravanan R Subbiah,TEAM DAAKUs,Lower-order batter,Right-arm medium,RHB,4,0.400,6.481,0.240,7.121
Tanishq Wagh,TEAM DAAKUs,All-Rounder,Right-arm medium,RHB,4,4.000,1.940,0.000,5.940
Suhas Agawane,TEAM. BAPPA BLASTERS,,Right-arm medium,LHB,4,1.207,3.865,0.000,5.072
Amit Kesharkar,TEAM. BAPPA BLASTERS,None,Right-arm medium,RHB,3,0.900,4.148,0.000,5.048
Pritam Pashankar,TEAM ROYAL CHALLENGERS,,Left-arm medium,LHB,2,1.242,3.345,0.000,4.587
Ashish Makwana,TEAM ROYAL CHALLENGERS,,Right-arm fast,RHB,3,1.559,2.717,0.240,4.516
Raman Toshniwal,TEAM ROYAL CHALLENGERS,All-Rounder,Right-arm fast,RHB,3,3.031,0.850,0.000,3.881
Sagar Shelar,TEAM ROYAL CHALLENGERS,All-Rounder,Right-arm fast,RHB,3,3.400,0.151,0.240,3.791
Shripad K,TEAM BAJRANGI,,Right-arm Off Break,RHB,5,1.100,2.445,0.000,3.545
Siva Varigala (VVS),TEAM ROYAL CHALLENGERS,All-Rounder,Right-arm medium,RHB,3,0.600,2.842,0.000,3.442
MANOJ UPADHYAY,TEAM BAJRANGI,All-Rounder,Right-arm medium,RHB,5,2.945,0.289,0.000,3.234
Dilip Achari,TEAM BAJRANGI,,Right-arm fast,RHB,5,0.600,0.847,0.240,1.687
Arham Celebria,TEAM DAAKUs,,Right-arm fast,RHB,4,0.000,1.302,0.280,1.582
Aniruddha Kudal,TEAM. BAPPA BLASTERS,Middle-order batter,Right-arm fast,RHB,3,0.700,0.525,0.000,1.225
Tanmay,TEAM ROYAL CHALLENGERS,,Right-arm medium,RHB,3,1.000,0.204,0.000,1.204
