Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Krushna Malpani,Kingmaker Boys,All-Rounder,Right-arm medium,RHB,7,14.534,15.957,6.300,36.791
Kishore Soni,Supernovas,,Right-arm fast,RHB,7,19.138,6.651,1.008,26.797
Tanishq Wagh,Infamous Mafias,All-Rounder,Right-arm medium,RHB,8,9.600,12.077,3.920,25.597
Ashish Naik,Supernovas,Opening batter,Right-arm Leg Break,RHB,7,16.800,8.222,0.280,25.302
MANOJ UPADHYAY,Crusaders 2.0,All-Rounder,Right-arm medium,RHB,5,7.410,11.683,3.220,22.313
Sagar Shelar,Smashers,All-Rounder,Right-arm fast,RHB,6,13.857,7.522,0.728,22.107
Rohit Akhade,Infamous Mafias,,Right-arm medium,RHB,8,10.050,7.088,3.864,21.002
Shubham Chougule,Supernovas,All-Rounder,Right-arm fast,RHB,7,10.845,7.869,2.240,20.954
Lavin Raheja,Kingmaker Boys,Opening batter,Right-arm medium,RHB,7,11.032,8.786,1.100,20.918
Atharva Patil,Kingmaker Boys,All-Rounder,Right-arm fast,RHB,7,5.438,14.245,0.130,19.813
Saurabh Mantri,Smashers,Top-order batter,Right-arm fast,RHB,6,10.667,7.453,1.484,19.604
Akash Patil,Infamous Mafias,All-Rounder,Right-arm fast,RHB,8,9.570,6.288,2.240,18.098
Kishor Wagh,Smashers,None,Right-arm medium,RHB,6,8.900,4.106,1.680,14.686
Atharva M,Thalas,All-Rounder,Right-arm fast,RHB,5,7.265,4.248,2.660,14.173
Ballal Sanket,Infamous Mafias,Middle-order batter,Right-arm fast,RHB,8,5.608,6.641,1.530,13.779
Raman Toshniwal,Kingmaker Boys,All-Rounder,Right-arm fast,RHB,7,12.500,1.239,0.000,13.739
DrSuhas Dhekane,Infamous Mafias,,Right-arm Leg Break,RHB,8,6.982,4.834,1.754,13.570
Manoj Wagh,Thalas,,Right-arm medium,RHB,4,3.340,5.412,1.680,10.432
Saurabh Thakur,Infamous Mafias,All-Rounder,Right-arm medium,RHB,8,7.439,1.327,0.224,8.990
Abhishek Axhari,Supernovas,,Right-arm fast,RHB,7,1.100,6.230,1.400,8.730
Siva Varigala (VVS),Kingmaker Boys,All-Rounder,Right-arm medium,RHB,7,4.045,4.242,0.224,8.511
Ashish Makwana,Crusaders 2.0,,Right-arm fast,RHB,5,3.500,4.809,0.000,8.309
Bhushan Ladda,Smashers,,Right-arm fast,RHB,5,0.700,6.536,0.700,7.936
Onkar,Crusaders 2.0,Bowler,Right-arm medium,RHB,5,1.812,5.367,0.224,7.403
Suhas Kale 702,Supernovas,,Right-arm fast,RHB,6,3.265,3.150,0.840,7.255
Aditya Agrawal,Crusaders 2.0,,Right-arm fast,RHB,4,4.512,1.468,1.260,7.240
Jonty K,Thalas,All-Rounder,Right-arm fast,RHB,5,4.364,2.143,0.700,7.207
Tanmay,Smashers,,Right-arm medium,RHB,5,0.405,6.245,0.000,6.650
Aniruddha Kudal,Crusaders 2.0,Middle-order batter,Right-arm fast,RHB,5,4.638,1.540,0.000,6.178
Pritesh Sail,Supernovas,,Right-arm medium,RHB,7,1.600,3.330,0.560,5.490
Jagdeep Deogade,Thalas,None,Right-arm fast,RHB,5,5.300,0.110,0.000,5.410
Abhishek Dayama,Supernovas,,Right-arm medium,RHB,6,0.000,4.795,0.130,4.925
Aditya Akmar,Infamous Mafias,,Right-arm fast,RHB,6,2.308,2.143,0.130,4.581
Digesh Panchal,Kingmaker Boys,,Right-arm medium,RHB,7,0.928,0.424,3.164,4.516
Anvit Bhosale,Kingmaker Boys,,Right-arm medium,RHB,6,0.000,3.825,0.130,3.955
Vinay Satam,Supernovas,All-Rounder,Right-arm medium,RHB,3,1.400,0.620,1.400,3.420
Prashant K,Thalas,All-Rounder,Right-arm fast,RHB,5,2.362,0.616,0.280,3.258
Hemant Chaudhari,Crusaders 2.0,,Right-arm medium,RHB,3,0.670,2.186,0.000,2.856
Abhishek satam,Smashers,None,Right-arm medium,RHB,4,1.500,-0.061,0.690,2.129
Amit Kesharkar,Thalas,None,Right-arm medium,RHB,4,0.500,1.617,0.000,2.117
Tushar Tonape,Thalas,None,Right-arm medium,RHB,4,0.400,1.335,0.000,1.735
Chandrakant Vipat,Thalas,,Right-arm fast,RHB,2,0.000,1.423,0.000,1.423
Ayush M,Infamous Mafias,,Right-arm fast,RHB,2,0.000,1.302,0.000,1.302
Pritam Pashankar,Smashers,,Left-arm medium,LHB,3,0.800,0.190,0.280,1.270
Aniket Wadkar,Smashers,,Left-arm medium,LHB,5,0.525,0.604,0.000,1.129
Dilip Achari,Kingmaker Boys,,Right-arm fast,RHB,2,0.100,-0.046,0.000,0.054
Shripad K,Crusaders 2.0,,Right-arm Off Break,RHB,3,0.000,0.039,0.000,0.039
Yogesh Rane ,Crusaders 2.0,,Right-arm medium,RHB,3,0.100,-0.072,0.000,0.028
